English,Hindi,Definition
arithmetic mean ,समांतर माध्य,"n राशियों को (किसी भी क्रम में) जोड़कर उस जोड़ को n से भाग देकर प्राप्त राशि । अंतराल [a,b] में किसी फलन f(x) का समांतर माध्य
1/(b-a)∫f(x) dx होगा ।  n राशियों x1,x2,....xn  का समांतर माध्य
  𝛴fi xi/ 𝛴fi  होगा ।  जबकि fi संख्या xi की बारंबारता है । दे० - mean,average"
arithmetic space, अंकगणितीय समष्टि,"वास्तविक संख्याओं के n-दुपुल (x1,x2,....xn ) के समुच्चय को n-विम अंकगणितीय समष्टि कहते है ।समृच्चय (x1,x2,....xn) को इस समष्टि का एकविंदु कहते हैं और प्रत्येक संख्या x1,x2आदि कोउस विंदु का निर्देशांक कहते हैं। दे० Euclidean space."
array, सरणी,"1. पंक्तियों एवं स्तंभौं में व्यवरिथत गणितीय अवयवोंका निकाय।
2. प्रेक्षणोौ के किसी समूह का स्पष्ट निरूपण, विशेषरूप से इन प्रेक्षणौं का परिमाण के क्रम मैं विन्यास ।"
ascending node ,आरोही पात,किसी खगोलीय पिंड का वह पात जिस पर उसकी गति पृथ्वी के सापेक्ष उत्तर की ओर होती है।
association ,साहचर्य,"सरल-द्विभाजित, अर्थात् 2 x 2 सारणी में निरूपण-योग्य विचरों का परस्पर संबंध। किसी 2 x 2 सारणी में यदि गुणों (A, B) (A का अभाव, B) (A, B का अभाव) (A का अभाव, B का अभाव) की बारंबारताएं क्रमशः a, c, c, d, हैं तो असमिका  a>(a+b)(b+c)/ a+b+c+d 
धनात्मक साहचर्य का तथा a< (a+b)(a+c)/a+b+c+d ऋणात्मक साहचर्य का प्रतिबंध है। यदि असमता के स्थान पर समता-चिन्ह हो तो गुण परस्पर स्वतंत्र होंगे।"
associative law ,साहचर्य-नियम,"मान लीजिए, a, b,c, किसी समुच्चय S के सदस्य हैं, और इस समुच्चय में परिभाषित कोई संक्रिया * है। यदि सभी a, b, c 𝜖 S के लिए (a*b)c = a* (b* c) हो तो इस नियम को इस संक्रिया का साहचर्य नियम कहते हैं। अंकगणित में योग और गुणा इस नियम का पालन करते हैं।"
asteroid ,"क्षुद्र ग्रह, ग्रहिका",उन हजारों छोटे ग्रहों में से कोई ग्रह जिनमें से अधिकांश की कक्षाएं बोड-नियम के अनुसार मंगल और वृहस्पति की कक्षाओं के बीच में है और जो सूर्य से औसतन 2.8 खगोलीय मात्रकों की दूरी पर परिक्रमण करते हैं। इनमें कई एक छोटे पिंडों का व्यास एक मील से भी कम है और लगभग 500 मील व्यास के पिंड भी इनमें सम्मिलित हैं।
astronomical latitude, खगोलीय अक्षांश,पृथ्वी के किसी दिए हुए स्थान पर गुरुत्व की दिशा और विषुवत् समतल के बीच का कोण । यह खगोलीय ध्रुव के उन्नतांश के बराबर होता है।
astronomical refraction, खगोलीय अपवर्तन,बाहरी आकाश के निर्वात प्रदेश से पृथ्वी के वायुमंडल में प्रवेश करने पर होने वाला प्रकाश-किरण काबंकन (बेंडिंग)।
astronomical triangle ,खगोलीय त्रिभुज,"वह गोलीय त्रिभुज जिसका एक शीर्ष खगोलीय ध्रुव, दूसरा शीर्ष शिरोबिंदु तथा तीसरा शीर्ष खगोलीय पिंड पर हो"
astronomy ,खगोलविज्ञान,"विज्ञान की वह शाखा जिसमें खगोलीय पिंडों की स्थितियों, कांतिमानों, गतियों, दूरियों, बनावटों, भौतिक /स्थितियों, पारस्परिक संबंधों, इतिहास तथा उनके भविष्य आदि का अध्ययन किया जाता है।"
asymptote ,अनंतस्पर्शी,"यदि किसी वक्र का कोई बिंदु वक्र की किसी शाखाके अनुदिश अनंत की ओर प्रवृत्त होता हो तो बिंदुपर खींची गई स्पर्श रेखा उस वक्र की अनंतस्पर्शी कहलाती है यदि उस पर मूल बिंदु से डाला गया लंब परिमित हो।
"
attribute," गुण
","किसी वस्तु या व्यक्ति की वह पहचान जो मात्रात्मक या चर के रूप में निरूपणीय न होकर किसी विशेषता की उपस्थिति को सूचित करने वाली हो, जैसे, व्यक्ति का स्त्री या पुरूष होना। इसकी तुलना में व्यक्ति की आयु एक चर है।"
"autocode
"," 1.स्वकूट, 2.स्वयंकूट 
","कंप्यूटर का उपयोग, स्वयं स्थूल कूट से यंत्रकूट क्रमादेश विकसित करना।"
automorphism ,स्वाकारिता,"समूह वलय, क्षेत्र आदि की अपने में तुल्याकारिता। दे० o isomorphism"
autumnal equinox ,"1.शरद विषुव,2. जल विषुव",वह क्षण जब सूर्य उत्तर से दक्षिण को जाते हुए विषुव वृत्त को पार करता हुआ दिखाई देता है। यह प्रति वर्ष 23 सितंबर को होता है। क्रांतिवृत्त के उस बिन्दु को भी शरद विषुव या जल विषुव कहते हैं जहां इस क्षण पर सूर्य की स्थिति हो।
average ,"1.माध्य,2. औसत","1. मानों कि किसी समुच्चय के लक्षणों और गुणधर्मों को सामान्य रूप से निरूपित करने वाला कोई मान।
2. x (i = 1, 2, ......n) द्वारा निरूपित n राशियों केसंदर्भ में निम्नलिखित व्यापक सूत्र द्वारा दिया गया मान |
 𝛴qi xi∧y/𝛴qi 
tglaqi, भार है और y कोई स्वेच्छ राशि है। कभी-कभी समांतर माध्य को ही औसत या माध्य कहते हैं जो वस्तुतः उपयुक्त सूत्र की एक विशेष स्थिति है। दे० arithmetic mean"
axes of coordinates ,"निर्देशांक-अक्ष
",प्रतिच्छेदी सरल रेखाएं जिनका प्रयोग कार्तीय ज्यामिति में निर्देश रेखाओं के रूप में किया जाता है।
"axion
"," 1. स्वयंसिद्ध 2. अभिगृहीत 
","1. स्वयंसिद्ध : वह नियम जिसका प्रमाण स्वयं उसमें ही निहित हो
2. अभिगृहीतः वह कथन जिसे बिना किसी उप्पत्ति के स्वीकार किया जाता है। किसी गणितीय तंत्र के अभिगृहीत वे आधारभूत साध्य होते हैं जिनसे अन्य सभी साध्यों को व्युत्पन्न किया जाता है।"
axiom of choice ,"वरण-अभिगृहीत
",गणितीय तर्कशास्त्र का निम्नलिखित अभिगृहीत समुच्चयों के किसी संग्रह में प्रत्येक समुच्चय के एक खास अवयव को चुनने की एक विधि होती है जिसके अनुसार उस अवयव को उस समुच्चय के विशिष्ट अवयव के रूप में निर्दिष्ट कर सकते हैं। यदि समुच्चयों का कोई संग्रह A दिया हुआ हो तो एक ऐसे फलन f(s) का निर्धारण कर सकते हैं कि A के प्रत्येक समुच्चय S के लिए f(s) उसका एक अवयव होता है। पर्याय - जर्मेलो - अभिगृहीत
axion of continuity ,"सातत्य-अभिगृहीत
",यह अभिगृहीत कि वास्तविक संख्या-अक्ष के प्रत्येक बिंदु की संगति में एक (परिमेय अथवा अपरिमेय) वास्तविक संख्या का अस्तित्व होता है।
axis," अक्ष
","1. एक सरल रेखा जिसकी चारों तरफ कोई पिंड अथवा त्रिविम आकृति घूर्णन करती है
2. एक सरल रेखा जिसकी सापेक्षता में किसी पिंड, आकृति अथवा बिंदु-निकाय की अरीय अथवा पार्वीय सममिति होती है।
3. एक सरल रेखा जिसकी चारों ओर किसी रेखा, वक्र या समतल आकृति को घुमाकर किसी ठोस पिंड या पृष्ठ को जनित करते हैं।
4. निर्देश-तंत्र की निर्देश-रेखाओं में से कोई एक रेखा (जैसे कार्तीय तंत्र में x-अक्ष)।"
azimuth," दिगंश
",क्षितिज के दक्षिण बिंदु से पश्चिम की ओर क्षितिज के अनुदिश उस स्थान तक अंशों में मापी गई दूरी जहां तारे अथवा किसी अन्य खगोलीय पिंड सेहोकर जाने वाला ऊर्ध्वाधर वृत्त क्षितिज से मिलता है।
backward difference ,"पश्चांतर
","y = f(x) की अंतर-सारणी के संदर्भ में राशि 𝛻f(x)= f(x)-f(x-h), जहां h स्वतंत्र चर x के दो क्रमागत मानों का अंतर है और जिसका संपूर्ण सारणी में एक ही मान होता है। इसका प्रयोग अंतर्वेशन-सूत्रों में होता है।"
backward difference operator ,"पश्चांतर संकारक
","पश्चांतर की परिभाषा 𝛻f(x) (x) = f(x) - f(x-h) में आने वाला संकारक 𝛻जिसका प्रयोग अंतर्वेशन की समस्याओं में किया जाता है।
"
balance ,"शेष, बाकी
","1. व्यवकलन की संक्रिया से प्राप्त फल ।
2.किसी लेखा में जमा खाते में नामे खाते से अधिक बची हुई राशि।"
ballistic missile," प्रक्षेपास्त्र
",वह अस्त्र जिसकी उड़ान के प्रारंभिक चरणों में शक्ति दी जाती है और शक्ति हटा लेने के बाद वह एक उच्च वक्रित प्रक्षेप-पथ में चलने लगता है।
Banach algebra ,"बानाख बीजावली
","वास्तविक (अथवा संमिश्र) क्षेत्र से संबद्ध एक बीजावली जिसकी संगत समष्टि बानाख समिष्टि हो और जिसके दो अवयवों x और
y के लिए असमिका| x𝛩 y ||≤||x|𝛩 ||y||तथा ||1||=1
वैध हो । वास्तविक क्षेत्र से संबद्ध बानाख-बीजावलीको वास्तविक बानाख बीजावली कहते हैं औरसंमिश्र क्षेत्र से संबद्ध बीजावली को संमिश्र बानाख बीजावली।"
Banach space ,"बानाख समष्टि
",एक पूर्ण मानकित रैखिक समष्टि । दे० normed linear space
bar chart ,"पट्ट संचित्र
",ऐसा संचित्र जिसमें विभिन्न घटकों के योग के रूप में निरूपित राशियों के विचरण का प्रर्दशन इस प्रकार किया जाता है कि उसमें घटकों का विचरण भी निरूपित होता हो और यह विचरण संचित्र में पट्ट के रूप में दिखाई देता हो।
banker's discount," बैंकर मितीकाटा",किसी बंध-पत्र के अंकित मूल्य पर परिकलित एवं अग्रिम रूप से कम किया गया मितीकाटा।
Barnard's star," बर्नार्ड तारा
",अमरीकी खगोलविद् बर्नार्ड द्वारा 1916 में पता किया गया एक तारा जिसकी निजी गति अभी तक ज्ञात तारों में सर्वाधिक है। इसका कांतिमान 10वीं कोटि का है और सूर्य से केवल 6.1 प्रकाश वर्ष की दूरी पर है।
barter ,"वस्तु-विनिमय
",व्यापार की वह विधा जिसमें एक वस्तु के बदले दूसरी वस्तु की लेन-देन होती है और मुद्राओं का प्रयोग नहीं होता।
barycentre ,"केन्द्रक
","1. किसी पिंड का वह बिंदु जिसमें से होकर पिंड के प्रत्येक बिंदु पर लगे हुए गुरुत्वाकर्षण-बलों का परिणामी बल गुजरता है, चाहे पिंड को किसी भी स्थिति में रखा गया हो।
2. किसी त्रिभुज का वह बिंदु जिस पर त्रिभुज के शीर्ष से सामने की भुजा के मध्य बिंदु को मिलाने वाली रेखाएं एक-दूसरे को काटती हैं।"
barycentric coordinates ,"केंद्रकीय निर्देशांक
","किसी यूक्लिडीय समष्टि En के किसी बिंदु x = 𝜆0p0+𝜆1p1, .... +𝜆npn, के रूप में व्यक्त निरूपण में वास्तविक संख्याएं 𝜆0,𝜆1,......𝜆n जहां 𝜆0+𝜆1+.....𝜆n =1 और p0, p1.....pn, समष्टि En के रैखिक रूप से स्वतंत्र n + 1 बिंदु हैं। प्रत्येक बिंदु के लिए यह निरूपण संभव है और ओं का यह समुच्चय अद्वितीय है। इस परिभाषा के अनुसार बिंदु x उन बिंदु संहतियों 𝜆0+𝜆1+.....𝜆n
का केन्द्रक है जो बिंदुओं p0, p1.....pn. पर स्थित है।"
base ,"आधार
","1. (संख्या आधार) एक से बड़ी कोई वास्तविक संख्या n जिसका प्रयोग वास्तविक संख्याओं को स्थानात्मक पद्धित में निरूपित करने में किया जाता है। कोई भी संख्या ajn^j के रूप के पदों के परिमित या अनंत योग के रूप में व्यक्त की जाती है जहां jऔर a ऐसे पूर्णांक हैं कि 0 <a, ≤n-1 उदाहरणार्थ : दमिक प्रणाली का  45=1x2^5 +0x2^4 +1x2^3+1x2^2 4 +0x2^1 +1x2° = 101101 (आधार 2) 4/33 1x 10° +3x10^-1+3x 10^-2+........= 1.333...... (आधार 10)
2. (लघुगणक का आधार) दे० logarithm
3. किसी ज्यामितीय आकृति की वह भुजा (अथवा फलक) जहां से प्रायः आकृति की ऊंचाई मापी जाती है।
4. (सांस्थतिक समष्टि का आधार) किसी सांस्थितिक समष्टि x के विवृत उपसमुच्चयों का एक ऐसा समुच्चय B कि x का प्रत्येक उपसमुच्चय B के समुच्चयों का सम्मिलन हो।"
base angle ,"आधार कोण
", त्रिभुज के आधार के दो सिरों पर कोई कोण ।
"basis 
",आधार,"1. किसी सदिश समष्टि का एक ऐसा रैखिकतः स्वतंत्र समुच्चय कि समष्टि के प्रत्येक सदस्य का निरूपण उसके सदस्यों के रैखिक संचय के रूप में किया जा सकता हो।
2.किसी सांस्थतिक सदिश समष्टि x के सदिशों का एक ऐसा अनुक्रम x1, x2,..... कि X के प्रत्येक अवयव x का x=  ∞∑j=1aj xj के रूप में अद्वितीयतः निरूपण xका किया जा सके।"
"Bayes' theorem
", बेज-प्रमेय,"माना A और B1, B2.....Bn. ऐसी परस्पर अपवर्ती घटनाओं का समुच्चय हो कि प्रायिकता P (A) ≠0,  n ∑ i=1 P(Bi) = 1 तथा P(Biव Bj) = 0, i≠jतो सप्रतिबंध प्रायिकता P(Bj |A) निम्नलिखित सूत्र से प्राप्त होती है।
 P(Bj |A)= P(Bj) P(A|Bj) /  n∑i=1 (Bi) P(A|Bi)"
bearing ,"दिक्मान, दिक्कोण
","किसी स्थान से देखने पर किसी वस्तु या बिंदु कीआपेक्षिक क्षैतिज दिशा। इसे प्रायः उत्तर दिशा से दक्षिणावर्त अभिदिशा में 0°  से 360° तक मापा जाता है। कभी-कभी किसी मुख्य दिशा से अगली मुख्य
दिशा तक की अभिदिशा में 0°  से 90° तक के माप के रूप में भी इसको व्यक्त करते हैं। जैसे पूर्व 60° दक्षिण आदि।"
beaufort scale ,"बोफ़ार्ट-मापक्रम
",एक ऐसा तंत्र जिससे वायु की गति का आकलन व प्रतिवेदन किया जाता है।
bell shaped curve," घंटाकार वक्र
",एक सममित बारंबारता वक्र जो प्रायः किसी संतत बारंबारता बंटन का वक्र होता है और जो आकार में किसी घंटे के ऊर्ध्वाधर परिच्छेद से मिलता जुलता है।
bending moment ,"बंकन-आघूर्ण
",किसी बंक के किसी अनुप्रस्थ परिच्छेद के उदासीन अक्ष के सापेक्ष दंड पर बंकन उत्पन्न करने वाले बलों के तंत्र का परिणामी आघूर्ण।
Bernoulli distribution ,"बर्नूली बंटन
","द्विपद बंटन का दूसरा नाम। दे. binomial
distribution"
Bernoulli's numbers ,"बर्नूली-संख्या
","x/1- e^-x अथवा xe^x/e^x -1 के प्रसार में x∧2/∠2, x∧4/∠4,....x∧2n/∠2n
के गुणांकों के संख्यात्मक मान । उचित प्रसार और विभाजन के उपयुक्त व्यंजक
1+1/2x+1/6* x∧2/∠2 +1/30*x∧4/∠4+......

का रूप धारण करता है । 1/2* के बाद सभी विषम पद शून्य हो जाते है । बर्नूली संख्याओं को B1,B2 , आदि से व्यक्त करने पर,

B1=<2n/2∧2n-1*𝜋∧2n ∞∑i=1 (1/i)∧2n

और व्यापक रूप

Bn= ∠2n/2∧2n-1*𝜋∧2n ∞∑i=1 (1/i)∧2n है ।"
Bessel function," येसल-फलन
","किसी धनात्मक अथवा ऋणात्मक पूर्ण संख्या n के लिए, t और 1/t घातों में  e∧z(t-1/t)/2 का प्रसारण करने पर प्राप्त श्रेणी मैं t∧n का गुणाक ।
व्यापक रूप में गवां बेसल फलन या
Jn(z)= ∞∑r=0 (-1)∧r/ ∠r √(n+r+1) * (z/2)∧n+2r

( जहां n ≠ -1,-2....)"
best estimator ,"श्रेष्ठतमं आकलक
","प्रतिदर्श द्वारा प्राप्त सूचना के आधार पर समष्टि- प्राच्लो के आकलनार्थ स्वीकृत किसी निकष के अनुसार की गई तुलना में सबसे उत्तम सिद्ध होने वाला आकलक । पर्याप्तता, न्यूनतम प्रसरण, निकटता आदि के लिए विविध निकष सुझाए गए हैं।"
beta function ,"बीटा फलन
","समाकल  ∫fx∧m-1(1-x)∧ n-1 dx, m> 0,n>o
इसका प्रतीक 𝛽 (m, n) है और | फलन के साथ इसका संबंध इस प्रकार है:
𝛽(m,n) =√m√n/√m+n"
bias ,"अभिनति
","सामान्यतः एक ऐसा प्रभाव जो क्रमबद्ध रूप सेकिसी सांख्यिकीय परिणाम की प्रतिनिधान-क्षमताको विकृत करता है। यह प्रभाव किसी यादृच्छिकत्रुटि के प्रभाव से भिन्न है जो सन्दर्भ-विशेष मेंआंकड़ों को विकृत करता है, परन्तु विकृति को औसतन संतुलित भी करता है ।"
bijection," एकैकी आच्छादन
",किसी समुच्चय A से किसी समुच्चय B में एक फलन जो एकैकी और आच्छादी दोनों होता है।
bilinear concomitant ,"द्विरैखिक सहगामी
","यदि L (u) = 0, L(v) = 0 एक दूसरे के संलग्न अवकल समीकरण हों तो ऐसा व्यंजक P (u,v) कि
vL (u) =uL (v)= dP (u, v)/dx यह फलन u,
 u'.....,u^(n-1) तथा v,v'......v^(n-1) दोनों में रैखिक और
समघात होता है।"
bilinear form ," द्वि-एकघाती समघात
","निम्नलिखित रूप का एक बहुपद जो चरों x1,x2,....xn में और चरों
y1, y2......yn, में समघात तथा प्रथम कोटि का होता है। निम्नलिखित रूप का एक बहुपदः P (x,y)= n𝛴i,j=1*aij xi yj"
billion ,"1. दशखर्व, 2.दस खरब, 3. अरब, 4.अर्बुद
","एक संख्या जो संयुक्त राष्ट्र अमेरिका और फ्रांस में 1,000,000,000 (=10^9) के बराबर होती है और इंग्लैंड और जर्मनी में 1,000,000,000,000 (=10^12) के बराबर होती है।"
bimodal distribution," द्विबहुलक बंटन
",दो बहुलकों वाला बारंबारता बंटन।
binary," 1. द्विआधारीः 2. युग्मतारा
","1. द्विआधारीः जिसका आधार 2 हो, यथा वास्तविक संख्याओं की संकेतन-पद्धति के संदर्भ में जिसका आधार 10 के स्थान पर 2 हो।
2. युग्मतारा दे० binary star"
binary digit ,"द्वि-आधारी अंक
","मूलांक-2 से छोटे किसी पूर्णांक को निरूपित करनेके लिए प्रयुक्त कोई संप्रतीक, यथा 0 या 1 कंप्यूटरमें परिपथ की अवस्थाओं के रूप में इनका निरूपणहोता है। यथा बुझी हुई अथवा जली हुई बत्ती।द्वि-आधारी अंक अथवा द्वयंक किसी संदेश में संचारणीय सार्थक सूचना-एककों में लघुतम है।"
binary point ,"द्वि-आधारी बिंदु
",किसी द्विआधारी संख्या में वह बिंदु जो भिन्नात्मक भाग से पूर्णांकी भाग को पृथक् करता है।
binary star ,"युग्मतारा
",ऐसे दो समीपस्थ तारों का जोड़ा जिनमें से प्रत्येक किसी उभयनिष्ठ गुरुत्व-केन्द्र के चारों ओर परिक्रमण करता हो।
binomial ,"द्विपद
","दो पदों वाला एक बहुपद, जैसे 10x + 7y"
binomial coefficient," द्विपद गुणांक
","(x+y)^n के प्रसारण में क्रम से आने वाले गुणांक। उदाहरणार्थः (x+y)^2 = x^2 + 2xy + y^2 जिसमें 1,2 और 1 द्विपद गुणांक कहलाते हैं।"
binomial distribution ,"द्विपद बंटन
","वह सांख्यिकीय बंटन जिससे n स्वतंत्र प्रयत्नों में ठीक बार किसी घटना के घटने की प्रायिकता ""Cq^n-r p^r के रूप में प्राप्त होती है जहां p घटना की प्रायिकता है और q = 1-p है। इस बंटन की प्रायिकताएं (q + p)^n के द्विपद विस्तार के क्रमिक पदों द्वारा निरूपित होती हैं। जैसे एक पासे को 10 बार उछालने पर '1' का अंक 6 बाद दिखाई देने की प्रायिकता 10c6 (5/6)^4 (1/6)^6  है।"
binomial theorem ,"द्विपद प्रमेय
",किसी द्विपद के प्रसार करने की विधि को बताने वाला प्रमेय (a + x)^n = n𝛴i=0 nCi a^n-i x^i जहां nCi एक द्विपद गुणांक है।
binormal ,"उपाभिलंब
",किसी आकाशीय वक्र के बिंदु P के संदर्भ में P से होकर जाने वाली वह रेखा जो बिंदु P पर वक्र के आश्लेषी समतल पर अभिलंब होती है।
biquadratic equation ,"चतुर्घात समीकरण
",चार घात वाला कोई बीजीय समीकरण। जैसे x^4+ + ax^3 + bx^2 + cx +d=0
bisector ,"1.अर्धक,2. द्विभाजक
","दो बराबर भाग करने वाला, विशेषतः वह सरल रेखा जो किसी कोण अथवा रेखा-खंड का अर्धक करती है।"
bit ,"द्वयंक (द्वि-आधारी अंक)
",द्वि-आधारी अंक का संक्षिप्त रूप। दे. binary dig
"bivariate 
",द्विचर,"दो चरों से संबद्ध, अथवा जिसमें दो चर हों।"
bivariate distribution ,"द्विचर बंटन
","विचरों X1  और X2 के किसी युग्म का बंटन जिसे संतत स्थिति में निम्न रूप में व्यक्त किया जाता है।dF = f (x1,x2)dx1,dx2, जहां f(x1,x2) प्रायिकता घनत्व फलन है।"
bivariate normal distribution," द्विचर प्रसामान्य बंटन
 ","माध्यों m1 और m2 तथा प्रसरणों 𝜎और 𝜎 वाले दो विचरों x1 और X2 का वह बंटन जिसका बंटल फलन निम्न होता है: df=1/2𝛱1 𝜎 (1-p^2)^1/2ex[-1/2(1-p^2){(x1-m1/ 𝜎 )^2-2p(x1-m1)(x2-m2)/ 𝜎 1 𝜎 2+ (x2-m2/ 𝜎 2}]dx1 dx2 जहां एक सहसंबंध है जिसका निरपेक्ष मान 1 से
अधिक नहीं है।"
Bode's law ,"बोडे-नियम
","जर्मन खगोल शास्त्री बोडे द्वारा सन् 1972 ई. में स्थापित नियम जिसमें सूर्य से ग्रहों की दूरी के लिए एक आनुभविक सूत्र दिया गया है। इस सूत्र के अनुसार सूर्य से प्रत्येक ग्रह की दूरी लगभग 0.4 + 2^n-1 x 0.3 खगोलीय मात्रक है, जहां n शुक्र से लेकर आगे के ग्रहों के लिए सूर्य से निकटता के क्रम में ग्रहों की क्रम--संख्या है। बुध, नपेचून और प्लूटो के
विषय में यह सूत्र कुछ परिवर्तन के साथ लागू होता है। इस सूत्र के अनुसार मंगल और वृहस्पति के बीच में एक रिक्ति थी जहां बाद में क्षुद्र ग्रह की खोज की गयी।"
bolometer ,"1.बोलोमीटर, 2. तेजमापी
",अति उच्च सुग्राही धातु-प्रतिरोध तापमापी जिसका उपयोग तापीय विकिरण नापने के लिए होता है।
bound ,"परिबंध
",किसी संख्या-समुच्चय की वह संख्या जो या तो समुच्चय की प्रत्येक संख्या के बराबर अथवा इससे छोटी हो अथवा वह संख्या जो समुच्चय की प्रत्येक संख्या के बराबर अथवा इससे बड़ी हो। पहली संख्या निम्न परिबंध और दूसरी संख्या उपरि परिबंध है।
boundary layer ,"परिसीमा परत
",जिस पिंड पर से होकर किसी तरल का प्रवाह हो रहा हो उसके पृष्ठ के निकट तरल के मंदित प्रवाह का प्रदेश।
boundary value ,"परिसीमा मान समस्या
",किसी अवकल समीकरण अथवा अवकल समीकरण-तंत्र के हल में आने वाली ऐसी समस्या जिसमें स्वतंत्र चर के कुछ मानों के लिए आश्रित चर पर कुछ विशेष प्रतिबंध दिए हुए होते हैं।
bounded function,परिबद्ध फलन,कोई ऐसा फलन f(z) जिसके साथ एक ऐसा अचर M होता हो कि f के  परिभाषा-प्रांत में सभी z लिए के | f(z) | <M
brokerage,दलाली,"स्टॉकों, बंधकों, नोटों तथा अन्य वित्तीय संविदों की बिक्री अथवा खरीद के लिए लगाया गया कमीशन ।"
buoyancy,उत्प्लावकता,"1. अशंतः अथवा पूर्णतः तरल में निमज्जित किसी पिंड की ऊपर उठने की प्रवृत्ति।
2. वह परिणामी ऊर्ध्वाधर बल जो पिंड को किसी तरल में निमज्जित करने पर तरल द्वारा पिंड पर लगाया जाता है।"
calculus,"1.कलन, 2.कैलकुलस",गणित का वह क्षेत्र जिसमें फलनों के अवकलन एवं समाकलन तथा इनसे संबद्ध संकल्पनाओं एवं अनुप्रयोगों का अध्ययन किया जाता है ।
calculus of variations,विचरण-कलन,"वह शाखा जिसमें फलनकों के उच्चिष्ठ और निम्निष्ठ मानों से संबंधित सिद्धांतों का अध्ययन होता है। जैसे.I=∫f (x,y,dy/dx) में y के ऐसे रूप का निर्धारण जो I को निम्निष्ठ या उच्चिष्ठ (जो भी अभीष्ट हो) बना देते हैं।"
Cantor discontinum,कैन्टर-विसांतत्यक,कैन्टर-समुच्चय का पर्याय ।
Cantor set,कैन्टर-समुच्चय,"संवृत अंतराल [0, 1] के ठीक मध्य के एक तिहाई भाग को हटाकर और फिर बचे हुए दो भागों के बीच के एक एक-तिहाई भागों को हटाकर, और
इस प्रक्रम को अनंत बार जारी रखकर प्राप्त किए गए बिंदुओं का समुच्चय। हटाए जाने वाले भाग विवृत समुच्चय होंगे। पर्याय-कैन्टर विसांतत्यक।"
card code,पत्रक-कूट,"कार्ड पर बनाए गए छेदों के किसी पैटर्न द्वारानिरूपित कोई कूट जिसमें छेदों का प्रयोग अक्षर, अंक, विरामादि चिन्ह जैसे संप्रतीकों का प्रतिनिधित्व करने के लिए होता है।"
cardinal number,गणन-संख्या,वह संख्या जो किसी समुच्चय की बहु प्रकारता का द्योतन करती है। अगर दो समुच्चयों में एकैकी संबंध हो तो उनकी गणन संख्या एक ही होती है।
cardinal point,प्रधान-दिग्बिंदु,"1. दिक्सूचक के उत्तर, पश्चिम, पूर्व और दक्षिण बिंदु ।
2. क्रांति वृत्त के दो विषुव बिंदु और दो अयनांत बिंदु।"
Cartesian axis,कार्तीय अक्ष,कार्तीय निर्देशांक प्रणाली में प्रयोग किए जाने वाले निर्देशाक्ष।
Cartesian coordinates,कार्तीय निर्देशांक,किसी बिंदु से कार्तीय अक्षों पर लंब डालने पर लंब पादों की मूल बिंदु से दूरी।
Cartesian product  of sets,समुच्चयों का कार्तीय गुणन,"दो समुच्चयों A और B के संदर्भ में वह समुच्चय A x B जिसके सदस्य (x, y) जैसे सभी संभव युग्म हैं जहां, x और y क्रमशः समुच्चय A और समुच्चय B के सदस्य हैं।"
category,संवर्ग,"वह वर्ग जिसमें समष्टि के सदस्यों को उनके गुणधर्मों के अनुसार समूहबद्ध किया जाता है। किसी सांस्थितिक समष्टि x का कोई उपसमुच्चय S, जिसे x के नकुत्रापि सधन उपसमुच्चयों के किसी गणनीय कुल के सम्मिलन के रूप में निरूपित किया जा सकता है, प्रथम संवर्ग का कहा जाता है। अन्य उपसमुच्चय द्वितीस संवर्ग के कहे जाते हैं। s को x के किसी बिन्दु x पर प्रथम संवर्ग का तब कहा जाता है जब x का एक ऐसा प्रतिवेश हो न हो कि Y IS प्रथम संवर्ग का है, अन्यथा s को बिंदु x पर द्वितीय संवर्ग का कहा जाता है।"
catenry,कैटिनरी,"समकोणिक निर्देशांकों में समीकरण y=a(coshx/a) द्वारा निरूपित समतल वक्र, जहां a वक्र का y-अंतःखड है। किसी लचीली रस्सी को किन्हीं दो बिंदुओं से ढीले लटकाने पर रस्सी इस वक्र के आकार में लटकती है।"
celestial altitude,खगोलीय उन्नतांश,प्रेक्षक के स्थानीय क्षितिज से ऊपर अथवा उसकेनीचे किसी दिए हुए बिंदु की कोणीय दूरी जिसे इसबिंदु और अधोबिंदु से होकर जाने वाले वृहत् खगोलीयवृत्त (ऊर्ध्वाधर वृत्त) के अनुदिश मापा गया हो। जबबिंदु क्षितिज के ऊपर होती है तब दूरी धनात्मकहोती है और नीचे होने पर ऋणात्मक होती है।
celestial body,"1. खगोलीय पिंड,2. खपिंड","उन सभी वस्तुओं के लिए एक व्यापक शब्द जिन्हेंपृथ्वी के वायुमंडलीय आवरण के परे आसमान में देखा जा सकता है। उदाहरणार्थः सूर्य, चंद्र, ग्रहऔर उनके उपग्रह, उल्काएं, धूमकेतू, तारे, नीहारिकाएं तथा बाह्य गैलेक्सी, आदि।"
celestial coordinates,खगोलीय निर्देशांक,"किसी खगोलीय पिंड के स्थिति-निर्धारण के लिए स्वीकृत और समकोण पर एक-दूसरे को काटने वाले दो खगोलीय वृह्दवृत्तों से ली गई कोणीय दूरी पर आधारित निर्देशांक। जैसे (1) विषुवांश और क्रांति, (2) खगोलीय अक्षांश और देशांतर, (3) गैलेक्सीय अक्षांश और देशांतर।"
