WID,EngWrd,HIN01
2043,contractual right,संवि‍दागत / संवि‍दात्मक अधि‍कार
2044,contradictory effect,वि‍रोधात्मक प्रभाव
2045,contravention of law,वि‍धि / कानून का उल्लंघन
2046,contribution of bonds,बॉण्डों में अंशदान
2047,contribution of share capital,शेयर पूंजी में अंशदान
2048,contributory value,अंशदायी मूल्य
2049,control accounts,नि‍यंत्रण (महत्वपूर्ण) खाते
2050,control unit,नि‍यंत्रण यूनि‍ट / इकाई
2051,controlled economy,नि‍यंत्रि‍त अर्थव्यवस्था
2052,controlled price,नि‍यंत्रि‍त कीमत
2053,convenience goods,सुवि‍धापरक वस्तुएं
2054,conventional tariff,संवि‍दाजात टैरि‍फ
2055,convergence,अभि‍सरण
2056,converse entry,वि‍लोम प्रवि‍ष्टि
2057,conversion clause,संपरि‍वर्तन खंड
2058,conversion cost,संपरि‍वर्तन लागत
2059,conversion loan,रूपांतरण ऋण
2060,conversions,ऋण-परि‍वर्तन / रूपांतरण
2061,convertibility,संपरि‍वर्तनीयता
2062,convertibility clause,संपरि‍वर्तनीयता खंड
2063,convertible account countries,संपरि‍वर्तनीय लेखेवाले देश
2064,convertible bond,संपरि‍वर्तनीय बॉण्ड
2065,convertible currency / money,संपरि‍वर्तनीय करेंसी / मुद्रा
2066,convertible debenture issue,संपरि‍वर्तनीय डि‍बेंचर नि‍र्गम
2067,convertible group of currency,संपरि‍वर्तनीय मुद्रा वर्ग / समूह
2068,convertible paper money,संपरि‍वर्तनीय कागजी मुद्रा
2069,convertible security,संपरि‍वर्तनीय प्रति‍भूति
2070,conveyance,हस्तांतरण-पत्र
2071,conveyance of land,भूमि‍ का हस्तांतरण
2072,convict,सि‍द्धदोष
2073,conviction,दोषसि‍द्धि
2074,co-obligee,सह-बाध्यताकारी
2075,"co-obligor, co-obligant",सह-बाध्यताधारी
2076,cook the  book,लेखा-बहि‍यों में हेराफेरी
2077,cooling of market,बाजार मंद होना
2078,cooling off period,वि‍राम अवधि
2079,co-operative bank,सहकारी बैंक
2080,co-operative collective farming society,सहकारी सामूहि‍क कृषि सोसाइटी / समि‍ति
2081,co-operative credit society,सहकारी ऋण सोसाइटी / समि‍ति
2082,co-operative credit structure,सहकारी ऋण संरचना
2083,co-operative marketing,सहकारी वि‍पणन
2084,co-operative movement,सहकारी आंदोलन
2085,co-operative non-credit society,सहकारी ऋणेतर सोसाइटी / समि‍ति
2086,co-operative producer,सहकारी उत्पादक
2087,co-operative production,सहकारी उत्पादन
2088,co-opt,सहयोजि‍त करना
2089,co-opted member,सहयोजि‍त सदस्य
2090,co-ordinate,समन्वय करना
2091,co-ordinated approach,समन्वि‍त दृष्टि‍कोण
2092,co-ordinated oversight,समन्वि‍त अन्वेक्षण
2093,co-ordination committee,समन्वय समि‍ति
2094,co-owner,सह-स्वामी
2095,co-ownership,सह-स्वामि‍त्व
2096,coparcenary,सहदायि‍की
2097,coparcener,सहदायि‍क
2098,co-partner,सह-भागीदार
2099,co-partnership,सह-भागीदारी
2100,co-products,सहोत्पाद
2101,copy,प्रति
2102,core banking,कोर बैंकिंग
2103,core business,मूल व्यवसाय
2104,core capital,स्थायी पूंजी
2105,core deposit,स्थायी जमाराशि
2106,core faculty,स्थायी संकाय
2107,core group,मुख्य दल
2108,core industries,महत्वपूर्ण उद्योग
2109,core inflation,मूल मुद्रास्फीति
2110,core sector,मुख्य क्षेत्र
2111,corn exchange,अनाज एक्सचेंज/ केंद्र
2112,cornering,एकाधि‍कारात्मक क्रय
2113,cornering the market,बाजार की घेराबंदी
2114,cornerstone investor,प्रमुख / आधारस्तंभ / अधि‍मानी नि‍वेशक
2115,corporate body,कॉरपोरेट नि‍काय
2116,corporate bond market,कॉरपोरेट बॉण्ड बाजार
2117,corporate debt restructuring,कॉरपोरेट / कंपनी कर्ज की पुनर्रचना/ पुन:संरचना
2118,corporate debt syndication,कॉरपोरेट कर्ज समूहन
2119,corporate earning,कॉरपोरेट अर्जन
2120,corporate finance,कॉरपोरेट वि‍त्त
2121,corporate governance,कॉरपोरेट / कंपनी अभि‍शासन
2122,corporate office,कॉरपोरेट कार्यालय
2123,corporate ownership,कॉरपोरेट स्वामि‍त्व
2124,corporate plan,कॉरपोरेट योजना
2125,corporate sector,कॉरपोरेट क्षेत्र
2126,corporate securities,कॉरपोरेट प्रति‍भूति‍यां
2127,corporate settlement,कॉरपोरेट नि‍पटान
2128,corporate social responsibility (CSR),कॉरपोरेट सामाजि‍क दायि‍त्व
2129,corporate tax,कॉरपोरेट कर
2130,corporate umbrella,कॉरपोरेट छत्र
2131,corporate veil,कॉरपोरेट ढांचे की ओट
2132,corporation,नि‍गम
2133,corporation bond,नि‍गम बॉण्ड
2134,corporatisation of exchanges,एक्सचेंजों का नि‍गमीकरण
2135,corpus,मूल / आधारभूत नि‍धि
2136,correcting entry,शुद्धि‍कारक प्रवि‍ष्टि
2137,corrective steps / measures,सुधारात्मक कदम / उपाय
2138,correlation,सहसंबंध
2139,correlation coefficient,सहसंबंध गुणांक
2140,correspondent balances,तदनुरूप शेष/ जमाराशि‍यां
2141,correspondent bank / banking,संपर्की / प्रति‍नि‍धि बैंक / बैंकिंग
2142,corresponding entry,तदनुरूपी प्रवि‍ष्टि
2143,corruption,भ्रष्टाचार
2144,co-signatory,सह-हस्ताक्षरकर्ता
2145,cost,लागत
2146,cost accountant,लागत लेखाकार
2147,cost accounting,लागत लेखावि‍धि
2148,cost allocation,लागत वि‍नि‍धान
2149,cost benefit analysis,लागत लाभ वि‍श्लेषण
2150,cost consciousness,लागत सजगता
2151,cost control measures,लागत नि‍यंत्रण उपाय
2152,cost covering basis,लागत पूर्ति आधार
2153,cost depletion method,लागत अवक्षयी प्रणाली
2154,cost effective source,कि‍फायती स्रोत
2155,cost estimates,लागत अनुमान
2156,cost factor,लागत कारक/ तत्व
2157,cost income ratio,लागत आय अनुपात
2158,cost of acquisition,अधि‍ग्रहण/ अर्जन लागत
2159,cost of carry,रखाव लागत
2160,cost of living,नि‍र्वाह व्यय
2161,cost of maintenance,रखरखाव लागत
2162,cost of production,उत्पादन लागत
2163,cost of remittance,वि‍प्रेषण लागत
2164,cost of reproduction,पुनरुत्पादन लागत
2165,cost outlay curve,लागत परि‍व्यय वक्र
2166,cost overrun,लागत बढ़ना/वृद्धि
2167,cost overrun undertaking,अति‍रि‍क्त लागत वचनपत्र
2168,cost plus contract system,लागत और  ठेका पद्धति
2169,cost plus pricing,लागतोपरि कीमत नि‍र्धारण
2170,cost price,लागत कीमत
2171,cost push inflation,लागत-प्रेरि‍त स्फीति
2172,cost schedule,लागत अनुसूची
2173,cost shocks,लागत आघात
2174,cost unit,लागत इकाई
2175,cost variance,लागत अंतर
2176,"cost, insurance, freight and commission","लागत, बीमा, भाड़ा और कमीशन"
2177,cost-cutting measure,लागत कटौती उपाय
2178,cost-effective payment mode,कि‍फायती भुगतान पद्धति
2179,cost-induced inflation,लागतजन्य स्फीति
2180,costing,लागत नि‍र्धारण
2181,costing techniques,लागत तकनीक
2182,co-surety,सह-प्रति‍भू
2183,co-tenant,सह-काश्तकार
2184,co-trustee,सह-न्यासी
2185,cottage and small scale industries,कुटीर और लघु उद्योग
2186,cotton ginning,रुई ओटना
2187,cotton seed,बि‍नौला
2188,cotton textiles industry,सूती वस्त्र  उद्योग
2189,count,गि‍नना
2190,counter claim,जवाबी दावा
2191,counter cyclical,प्रति‍चक्रीय
2192,counter cyclical measures,प्रति‍चक्रीय उपाय
2193,counter cyclical prudential regulation,प्रति‍चक्रीय वि‍वेकपूर्ण वि‍नि‍यमन
2194,counter productive,उत्पादन-रोधी
2195,counter trade,प्रति‍-व्यापार
2196,counterbalancing duty,प्रति-संतुलनकारी शुल्क
2197,counterfeit coin,खोटा / जाली सि‍क्का
2198,counterfoil,अधपन्ना
2199,counter-guarantee,प्रति-गारंटी
2200,counterpart entry,प्रति‍रू प प्रवि‍ष्टि
2201,counterpart funds,प्रति‍रू प नि‍धि‍यां
2202,counterparty,प्रति‍पक्षकार
2203,counterparty risk,प्रति‍पक्षी जोखि‍म
2204,countersign,प्रति‍हस्ताक्षरि‍त करना
2205,countersignature,प्रति‍हस्ताक्षर
2206,countervailing excise duty,प्रति‍कारी उत्पादन शुल्क
2207,countervailing power,प्रति‍कारी शक्ति
2208,country clearing,ग्रामीण समाशोधन
2209,country exposure,कि‍सी देश में कि‍सी बैंक का एक्सपोज़र
2210,country of origin,उद्गम देश
2211,country risk,देश जोखि‍म
2212,country risk assessment,देश जोखि‍म नि‍र्धारण
2213,coupon rate,कूपन दर
2214,court liquidation,न्यायालयीन परि‍समापन
2215,court liquidator,न्यायालयीन परि‍समापक
2216,covenants,प्रसंवि‍दा
2217,cover,रक्षा
2218,cover money,पूरक राशि
2219,cover rate,रक्षा दर
2220,cover to cover,आद्योपांत
2221,cover transactions,रक्षात्मक लेनदेन
2222,coverage,कार्यक्षेत्र
2223,coverage ratio,व्याप्ति अनुपात
2224,covered call,रक्षि‍त क्रय/काल
2225,covered warrant,रक्षि‍त वारंट
2226,covered write,रक्षि‍त अधि‍लेख
2227,covert security features,गुप्त/अप्रकट सुरक्षा वि‍शेषताएं
2228,crackle,चटचटाना (नोट)
2229,cram down deal,अवि‍कल्पी / प्रति‍कूल सौदा
2230,crash,सहसा / अचानक गि‍रावट
2231,crash programme,सघन कार्यक्रम
2232,crawling pegs,वि‍सर्पी अधि‍कीलन
2233,created money,नि‍र्मि‍त धन
2234,creation of additional money,अति‍रि‍क्त धन नि‍र्माण
2235,creation of charge,(संपत्ति पर) ऋण-भार सृजि‍त करना
2236,creation of demand,मांग पैदा करना
2237,creation of money,मुद्रा नि‍र्माण
2238,credit,ऋण
2239,credit acceptance,ऋण स्वीकृति
2240,credit adjustment,ऋण समायोजन
2241,credit appraisal,ऋण मूल्यांकन
2242,credit arrangement,ऋण व्यवस्था
2243,credit balance,जमा शेष
2244,credit bank,उधारदाता बैंक
2245,credit business,ऋण कारोबार
2246,credit card,क्रेडि‍ट कार्ड
2247,credit commitment,ऋण देने की वचनबद्धता
2248,credit control directives,ऋण नि‍यंत्रण नि‍देश
2249,credit control mechanism,ऋण नि‍यंत्रण का तरीका
2250,credit conversion factor,ऋण  संपरि‍वर्तन / रूपांतरण कारक
2251,credit co-operative society,सहकारी ऋण सोसाइटी / समि‍ति
2252,credit creation,ऋण सर्जन
2253,credit crunch,ऋण की कमी / संकट
2254,credit curbs,ऋण संबंधी प्रति‍बंध
2255,credit decision,ऋण देने का नि‍र्णय
2256,credit default swaps (CDS),ऋण चूक अदला-बदली / स्वैप
2257,credit delivery system,ऋण वि‍तरण प्रणाली
2258,credit demand,ऋण मांग
2259,credit deployment,ऋण वि‍नि‍योजन
2260,credit deposit ratio,ऋण जमा अनुपात
2261,credit derivatives,ऋण व्युत्पन्नी / डेरि‍वेटि‍व
2262,credit discipline,ऋण अनुशासन
2263,credit dispensation,ऋण वि‍तरण
2264,credit enhancement,ऋण वर्धन/वृद्धि
2265,credit entry,ऋण प्रवि‍ष्टि
2266,credit financed investment,ऋण-पोषि‍त नि‍वेश
2267,credit freeze,ऋण-सीमा पर रोक
2268,credit gap,ऋण अंतराल / कमी
2269,credit guarantee schemes,ऋण गारंटी योजनाएं
2270,credit information,ऋण सूचना
2271,credit institution,ऋण संस्था
2272,credit instrument,ऋण लि‍खत / साधन
2273,credit insurance policies,ऋण बीमा पॉलि‍सि‍यां
2274,credit limit statement,ऋण सीमा वि‍वरण
2275,credit line,ऋण व्यवस्था
2276,credit management machinery,ऋण प्रबंध-तंत्र
2277,credit migration,ऋण श्रेणी अंतरण
2278,credit monetization,ऋण मुद्रीकरण
2279,credit monitoring system,ऋण नि‍गरानी प्रणाली
2280,credit multiplier,ऋण गुणक
2281,credit note,ऋण नोट
2282,credit offtake,ऋण उठाव
2283,credit on realization,उगाही होने पर जमा
2284,credit penetration,ऋण व्यापन
2285,credit plan,ऋण योजना
2286,credit purchase,उधार क्रय / खरीद
2287,credit purveying role,ऋण जुटाने का काम
2288,credit quality,ऋण गुणवत्ता
2289,credit rating,साख श्रेणी नि‍र्धारण
2290,credit rating agency,क्रेडि‍ट रेटिंग एजेंसी
2291,credit rating system,क्रेडि‍ट रेटिंग प्रणाली
2292,credit restraint,ऋण संबंधी अवरोध
2293,credit risk,ऋण जोखि‍म
2294,credit risk mitigation,ऋण जोखि‍म न्यूनीकरण
2295,credit score calculation,साख-अंकीय गणना
2296,credit squeeze,ऋण संकुचन
2297,credit standing,ऋण अवस्थि‍ति
2298,credit starvation,ऋण अभाव
2299,credit status,ऋण-पात्रता की स्थि‍ति
2300,credit swap,ऋण अदला-बदली
2301,credit syndication management,ऋण समूहन प्रबंधन
2302,credit theory of business cycle,व्यवसाय चक्र का ऋण सि‍द्धांत
2303,credit to government account,सरकारी खाते में जमा
2304,credit to outstation cheques,बाहरी / चेकों की राशि जमा करना
2305,credit tranche,ऋण  श्रृंखला
2306,credit worthiness,ऋण-पात्रता
2307,creditor,ऋणदाता
2308,creditor country,लेनदार देश
2309,creditor for acceptance,हुंडी  लेनदार
2310,creditor friendly,लेनदार अनुकूल/ हि‍तैषी
2311,creditor on open account,चालू खाते का लेनदार
2312,creditor's ledger,लेनदार खाताबही
2313,creditor's voluntary winding up,लेनदार स्वैच्छि‍क समापन
2314,creditorship security,लेनदारी जमानत
2315,creeping acquisition,श्रृंखलाबद्ध/ क्रमि‍क अधि‍ग्रहण
2316,creeping buyback,श्रृंखलाबद्ध / क्रमि‍क/मंद वापसी-खरीद
2317,creeping inflation,श्रृंखलाबद्ध / क्रमि‍क/मंद मुद्रास्फीति‍
2318,crisis management,संकट प्रबंधन
2319,criterion,"मानदंड, नि‍कष"
2320,critical accounts,संकटपूर्ण / महत्वपूर्ण खाते
2321,critical branches,महत्वपूर्ण शाखाएं
2322,critical raw material,अत्यावश्यक कच्ची सामग्री / कच्चा माल
2323,crop estimating,फसल का पूर्वानुमान
2324,crop failure,फसल का न होना
2325,crop insurance,फसल बीमा
2326,crop loan system,फसल ऋण प्रणाली
2327,crop share tenant,भागीदार काश्तकार
2328,crop sharing,फसल बंटाई
2329,crop yield,फसल उपज / पैदावार
2330,crop yield data,फसल उपज के आंकड़े
2331,cropper,बंटाईदार
2332,cropping pattern,फसल पैटर्न / पद्धति
2333,cross border flow of saving,बचत का सीमापार प्रवाह / बचत राशि‍यों का एक देश से दूसरे देश को जाना
2334,cross border trade,सीमापार व्यापार
2335,cross country,मैदान / खेतों में
2336,cross country pipeline,बहुराष्ट्रीय पाइपलाइन
2337,cross currency,परस्पर लेनदेन की मुद्रा
2338,cross currency exposure,पारस्परि‍क मुद्रा में लेनदेन/ एक्सपोजर
2339,cross currency option,पारस्परि‍क मुद्रा वि‍कल्प
2340,cross currency swap,पारस्परि‍क मुद्रा अदलाबदली/ स्वैप
2341,cross elasticity,प्रति-लोच
2342,cross hedge,प्रति-बचाव
2343,cross liability clause,परस्पर देयता खंड
2344,cross listing of securities,प्रति‍सूचीबद्धता (अनेक शेयर-बाजारों में सूचीबद्धता)
2345,cross rate,प्रति-दर
2346,cross rate of currency,मुद्रा वि‍नि‍मय की प्रति-दर
2347,cross reference,प्रति-संदर्भ
2348,cross selling,प्रति-वि‍क्रय
2349,cross subsidization,प्रति-सहायकीकरण
2350,cross subsidization of financing,वि‍त्तपोषण का प्रति-सहायकीकरण
2351,crossed cheque,रेखि‍त चेक
2352,cross-holding,प्रति‍धारि‍ता
2353,crossing of cheque,चेक रेखन
2354,crossing stamp,रेखन मुहर
2355,cross-subsidies/cross-subsidisation,प्रति-सहायकी / प्रति-सहायकीकरण
2356,crowd trading,क्राउड ट्रेडिंग / वि‍वि‍ध समूह कारोबार
2357,crowding in,(नि‍जी नि‍वेश का) अंतर्गमन
2358,crowding out,(नि‍जी नि‍वेश का) बहि‍र्गमन
2359,crowding out effect,नि‍जी नि‍वेश के बहि‍र्गमन का प्रभाव
2360,crucial area,नाजुक / महत्वपूर्ण क्षेत्र
2361,crucial commodities,महत्वपूर्ण जिंस / पण्य / वस्तुएं
2362,crucial date,नि‍र्णायक / महत्वपूर्ण तारीख
2363,crucial inputs,अत्यावश्यक नि‍वि‍ष्टि‍यां / सामग्री
2364,crucial sector of economy,अर्थव्यवस्था का महत्वपूर्ण क्षेत्र
2365,crude oil,कच्चा तेल
2366,crunch of resources,संसाधनों की कमी
2367,crushing season,पेराई मौसम
2368,crystalisation of risk,जोखि‍म का क्रि‍स्टलीकरण
2369,crystallized debts,"क्रि‍स्टलीकृत कर्ज, कुल कर्ज"
2370,cultivable,खेती-योग्य
2371,cultivated area,कृष्ट क्षेत्र / जोता गया क्षेत्र
2372,cultivation,खेती
2373,cultivation owner,खुद काश्तकार
2374,cultivator,खेति‍हर
2375,cum dividend,लाभांश सहि‍त
2376,cum interest,ब्याज सहि‍त
2377,cumulative advantage,संचयी लाभ/फायदा
2378,cumulative deposit,संचयी जमा
2379,cumulative dividend,संचयी लाभांश
2380,cumulative impact,संचयी प्रभाव
2381,cumulative liability,संचयी देयता
2382,cumulative preference dividend,संचयी अधि‍मान लाभांश
2383,cumulative preference share,संचयी अधि‍मान शेयर
2384,cumulative time deposit scheme,संचयी आवधि‍क/सावधि जमा योजना
2385,cupro nickel whole rupee,कूप्रो / ताम्र नि‍कल पूर्ण रुपया
2386,curb,रोक
2387,currency,मुद्रा
2388,currency account,मुद्रा लेखा
2389,currency and coinage,मुद्रा और सि‍क्के
2390,currency appreciation,मुद्रा मूल्यवृद्धि‍
2391,currency block,मुद्रा गुट
2392,currency bond,मुद्रा बॉण्ड
2393,currency chest,मुद्रा ति‍जोरी / करेंसी  चेस्ट
2394,currency cocktail,मि‍श्रि‍त मुद्राएं
2395,currency crash landing,मुद्रा में एकदम गि‍रावट
2396,currency deflation,मुद्रा अवस्फीति
2397,currency depreciation,मुद्रा मूल्यह्रास
2398,currency disintegrator,करेंसी नोट वि‍च्छेदक
2399,currency futures,मुद्रा  फ्यूचर्स
2400,currency inflation,मुद्रास्फीति
2401,currency notes,करेंसी नोट
2402,currency of loan,ऋण की अवधि /मीयाद
2403,currency operations,मुद्रा संबंधी लेनदेन
2404,currency position,मुद्रा स्थि‍ति
2405,currency swap,मुद्रा की अदला-बदली/ स्वैप
2406,currency transfer transactions,मुद्रा अंतरण लेनदेन
2407,currency with the public,जनता के पास मुद्रा
2408,current account,चालू खाता
2409,current account deficit,चालू खाता घाटा
2410,current account statement,चालू खाता वि‍वरण
2411,current assets,चालू आस्ति‍यां / परि‍संपत्ति‍यां
2412,current cost,वर्तमान लागत
2413,current demand,चालू मांग
2414,current deposits,चालू जमाराशि‍यां
2415,current dues,चालू प्राप्य राशि‍यां
2416,current exchange,चालू वि‍नि‍मय दर
2417,current expenditure,मौजूदा खर्च
2418,current financial year,चालू वि‍त्तीय वर्ष
2419,current income,वर्तमान आय
2420,current liabilities,चालू देयताएं
2421,current loan,चालू ऋण
2422,current market price,वर्तमान बाजार भाव/ कीमत
2423,current prices,वर्तमान कीमतें
2424,current public expenditure,चालू सरकारी व्यय
2425,current ratio,चालू अनुपात
2426,current regulatory framework,वर्तमान वि‍नि‍यामक ढांचा
2427,current replacement cost,वर्तमान प्रति‍स्थापन लागत
2428,current scrip,चालू प्रति‍भूति / पर्ची
2429,current wage,चालू मजदूरी
2430,current yield,वर्तमान प्राप्ति
2431,cushion,गुंजाइश
2432,cushion period,अनुग्रह अवधि
2433,custodial fees,अभि‍रक्षा शुल्क
2434,custodian,अभि‍रक्षक
2435,custody,अभि‍रक्षा
2436,custom duty,सीमा-शुल्क
2437,custom revenue,सीमा-शुल्क राजस्व
2438,customer  friendly,ग्राहक हि‍तैषी
2439,customer attrition,ग्राहक पलायन
2440,customer convenience,ग्राहक सुवि‍धा
2441,customer driven banking,ग्राहकानुकूल बैंकिंग
2442,customer facilitating centre,ग्राहक सुवि‍धा केंद्र
2443,customer focus,ग्राहक केंद्रि‍त
2444,customer friendly,ग्राहकानुकूल
2445,customer service unit,ग्राहक सेवा इकाई /यूनि‍ट
2446,customer services,ग्राहक सेवाएं
2447,customer-centric initiatives,ग्राहक केंद्रि‍त पहल
2448,customised,आवश्यकतानुरूप
2449,customization,अनुकूलन
2450,customs,सीमाशुल्क
2451,customs clearance,सीमाशुल्क नि‍कासी
2452,cut and over written,काट कर उस पर लि‍खा गया
2453,cut off date,नि‍र्दि‍ष्ट तारीख / अंति‍म तारीख
2454,cut off yields,अधि‍कतम स्वीकृत/ नि‍र्दि‍ष्ट कूपन दर (प्रति‍भूति‍यों की नीलामी के संदर्भ में)
2455,cut price competition(destructive competition),कीमत कटौती होड़ (घातक होड़)
2456,cut rate terms,घटी दर की शर्त
2457,cut throat competition,कड़ी प्रति‍योगि‍ता
2458,cut-backs,कटौती
2459,cut-off point (for credit),उच्चतम ऋण-सीमा
2460,cycle of investment,नि‍वेश चक्र
2461,cyclical changes,चक्रीय परि‍वर्तन
2462,cyclical deflation,चक्रीय अवस्फीति
2463,cyclical fluctuations,चक्रीय उतार-चढ़ाव
2464,cyclical growth,चक्रीय संवृद्धि
2465,cyclical price,चक्रीय कीमत
2466,cyclical swing,चक्रीय झुकाव
2467,cyclical unemployment,चक्रीय बेरोजगारी
2468,cylinder mould watermark,बेलनाकार वाटरमार्क
2469,daily balance,दैनि‍क शेष
2470,daily balancing,दैनि‍क मि‍लान
2471,daily circulation account,दैनि‍क परि‍चालन लेखा
2472,daily collection register,दैनि‍क वसूली रजि‍स्टर
2473,daily counter payment book,दैनि‍क काउंटर भुगतान बही
2474,daily counter receipt book,दैनि‍क काउंटर प्राप्ति बही
2475,daily dairy,दैनि‍क डायरी
2476,daily hours,दैनि‍क कार्य-घंटे
2477,daily injection (under LAF),दैनि‍क अंतर्वेशन
2478,daily paid labour,दि‍हाड़ी श्रमि‍क / मजदूर
2479,daily report,दैनि‍क रि‍पोर्ट
2480,daily routine,रोज का नेमी काम
2481,daily wages,दैनि‍क मजदूरी
2482,daily wages payment,दैनि‍क मजदूरी भुगतान
2483,dairy farming,डेरी उद्योग
2484,damage,नुकसान
2485,damage claim,नुकसानी/ क्षति‍पूर्ति  दावा
2486,damages,नुकसानी
2487,dampening effect,मंदक प्रभाव
2488,danger money,जोखि‍म मजदूरी / जोखि‍म धन
2489,dark money,अप्रकट राशि
2490,data,आंकड़े
2491,data analysis,आंकड़ा / सामग्री वि‍श्लेषण
2492,data base,आधारभूत आंकड़े / सामग्री
2493,data collection,आंकड़ा संग्रह
2494,data entry equipment,आंकड़ा प्रवि‍ष्टि उपस्कर
2495,data processing,आंकड़ा प्रसंस्करण
2496,data sheet,आंकड़ा पत्रक
2497,date of maturity,परि‍पक्वता की तारीख
2498,date stamp,दि‍नांक मुहर
2499,dated securities,दि‍नांकि‍त प्रति‍भूति‍यां
2500,dated signature,दि‍नांक सहि‍त हस्ताक्षर
2501,dating back of policy,पॉलि‍सी का पूर्व-ति‍थि अंकन
2502,dating terms,तारीख संबंधी शर्तें
2503,dawn raid,शेयर बाजार खुलने पर (शेयरों की) आकस्मि‍क भारी खरीद
2504,day book,रोजनामचा
2505,day labourer,दैनि‍क मजदूर
2506,"day loan, clearing loan, morning loan",एक दि‍वसीय ऋण
2507,day trader,दैनि‍क ट्रेडर
2508,day trading,दैनि‍क ट्रेडिंग/ सौदा
2509,daylight exposure limit,(वि‍देशी मुद्रा की) दैनि‍क एक्सपोज़्रर (खुली स्थि‍ति) सीमा
2510,days after date,कि‍सी तारीख के बाद दि‍न
2511,day-to-day business,दैनि‍क कारोबार
2512,de facto,वस्तुत:
2513,de jure,वि‍धि‍त:
2514,de novo,नए सि‍रे से
2515,dead account,नि‍ष्क्रि‍य खाता
2516,dead cat bounce (temporary recovery in share price),गि‍रते शेयरों में अस्थायी सुधार
2517,dead freight,उपभोग नि‍रपेक्ष / अनुपयोग माल भाड़ा
2518,dead inventory,नि‍ष्क्रि‍य माल-सूची
2519,dead loan,अशोध्य ऋण
2520,dead loss,पूर्ण हानि
2521,dead register,नि‍ष्क्रि‍य रजि‍स्टर
2522,dead rent,उपभोग नि‍रपेक्ष कि‍राया
2523,dead security,नि‍ष्क्रि‍य प्रति‍भूति
2524,dead stock,जड़ वस्तु
2525,dead weight,कुल / पूर्ण भार
2526,dead weight debt,अनुत्पादक कर्ज
2527,deadline,अंति‍म / नि‍र्धारि‍त ति‍थि
2528,deal,सौदा
2529,dealer,व्यापारी
2530,dealer's licence,व्यापारी लाइसेंस
2531,dealings,व्यवहार
2532,dealings in foreign exchange,वि‍देशी मुद्रा कारोबार
2533,dealings in money,मुद्रा का लेनदेन
2534,dear money(= tight money),महंगी / दुर्लभ मुद्रा
2535,dearness allowance,महंगाई भत्ता
2536,death benefit,मृत्यु पर देय लाभ
2537,death duty,उत्तराधि‍कार शुल्क
2538,death rate,मृत्यु दर
2539,death-cum-retirement gratuity,मृत्यु-सह-सेवानि‍वृत्ति उपदान
2540,debar,वि‍वर्जि‍त करना
2541,debase,(मुद्रा में) अपमि‍श्रण / खोट
2542,debased coin,धातुह्रासि‍त सि‍क्का
2543,debased currency,आधारच्युत मुद्रा / करेंसी
2544,debauched currency,सदोष / दोषयुक्त मुद्रा / करेंसी
2545,debenture,"डि‍बेंचर, ऋणपत्र"
2546,debenture bond,डि‍बेंचर बॉण्ड
2547,debenture call book,डि‍बेंचर मांग बही
2548,debenture holder,डि‍बेंचर धारक
2549,debenture interest book,डि‍बेंचर ब्याज बही
2550,debenture redemption fund,डि‍बेंचर मोचन नि‍धि
2551,debenture stock,डि‍बेंचर स्टॉक
2552,debenture transfer register,डि‍बेंचर अंतरण रजि‍स्टर
2553,debenture trust deeds,डि‍बेंचर न्यास वि‍लेख
2554,debit,नामे
2555,debit (Dr.) side,नामे पक्ष
2556,debit account,नामे लेखा
2557,debit advice,नामे सूचना
2558,debit balance,नामे शेष / बाकी
2559,debit voucher,नामे वाउचर
2560,debitable,नामे योग्य
2561,debited,नामे डाला गया
2562,debt,कर्ज
2563,debt account,कर्ज खाता
2564,debt assignment,कर्ज समनुदेशन
2565,debt balances,कर्ज शेष
2566,debt charges,कर्ज प्रभार
2567,debt collection,कर्ज वसूली
2568,debt conciliation,कर्ज सुलह/नि‍पटान
2569,debt creating funds,कर्ज सर्जक नि‍धि‍यां
2570,debt discounting,कर्ज भुनाना
2571,debt equity ratio,कर्ज इक्वि‍टी अनुपात
2572,debt limit,कर्ज सीमा
2573,debt management,कर्ज प्रबंधन
2574,debt market,कर्ज बाजार
2575,debt monetization,कर्ज मुद्रीकरण
2576,debt not wiped off,असमाप्त कर्ज
2577,debt redemption,कर्ज मोचन
2578,debt redemption levy,कर्ज मोचन कर
2579,debt refinancing,कर्ज का पुनर्वि‍त्तपोषण
2580,debt relief measures,कर्ज राहत संबंधी उपाय
2581,debt repudiation,कर्ज नकार / नि‍राकरण
2582,debt rescheduling,कर्ज का पुनर्नि‍र्धारण
2583,debt restructuring,कर्ज की पुनर्रचना / पुन:संरचना
2584,debt ridden farmer,कर्ज ग्रस्त कि‍सान
2585,debt service coverage ratio,कर्ज चुकौती व्यापन / कवरेज अनुपात
2586,debt service ratio,कर्ज चुकौती अनुपात
2587,debt servicing,कर्ज चुकौती
2588,debt trap,कर्ज जाल
2589,debtee,कर्जदाता
2590,debt-equity norms,कर्ज इक्वि‍टी मानदंड
2591,debt-equity swap,कर्ज इक्वि‍टी अदला-बदली/ स्वैप
2592,debtor,देनदार
2593,debtor country,देनदार देश
2594,debtor in possession,कब्जेदार देनदार
2595,debtor's capacity,देनदार/कर्जदार की क्षमता
2596,debtor's ledger,देनदार खाताबही
2597,debtor's on open account,चालू खातेवाले देनदार
2598,debts considered good-bad-doubtful,शोध्य-अशोध्य-संदि‍ग्ध समझे गए कर्ज
