Abelian group,आबेली समूह,आबेल गट
cusp,"उभयाग्र, कस्प",उभयाग्र
cycle,"1.चक्र, आवर्तन 2. साइकिल 3. ढलाई चक्र, संचन चक्र","चक्र, वलय"
cyclical variation,चक्रीय विचरण,"चक्राकार परिवर्तन, चक्रीय विचरण"
cyclic cross product,चक्रीय सदिश गुणनफल,चक्रीय फुली गुणाकार
cyclic demand,चक्रीय मांग,चक्रीय मागणी
cyclic expression,चक्रीय व्यंजक,चक्रीय राशी
cyclic group,चक्रीय समूह,चक्रीय गट
cyclic permutation,चकीय क्रमचय,"चक्रीय क्रमचयन, चक्रीय क्रमपर्याय, चक्रीय क्रमांतरण"
cycloid,"चक्रज, साइक्लोइड",चक्र आभ
cylinder,"बेलन, सिलिन्डर",चिती
cylindrical,"बेलनाकार, सिलिन्डराकार, बेलनी, सिलिन्डरी",चितिरूप
cylindrical surface,सिलिन्डराकार पृ्ष्ठ,चितिरूप पृ्ष्ठभाग
cypher,"शून्य, सिफर","शून्य, गुप्त लिपी, सांकेतिक लिपी"
D'alembert's principle,डिलंबर्ट-सिद्‌धांत,डीअलेंबर्ट तत्व
damped harmonic function,अवमंदित सरल आवर्त गति,अवमंदित तालबद्‌ध फल
damping constant,अवमंदन स्थिरांक,अवमंदन स्थिरांक
data,"1. दत्त, उपात्त 2. आंकड़ा, न्यास","पक्ष, आधारसामग्री, माहिती"
data origination,दत्त उपक्रमण,आधारसामग्री निर्मिती
data processing system,न्यास संसाधन प्रणाली,आधारसामग्रीचे संस्करण प्रणाली
data processor,आंकड़ा संसाधित्र,"आधारसामग्री संस्करक, आधारसामग्री प्रक्रियक"
data sheet,आंकड़ा पत्र,"आधारसामग्री पत्रक, महिती पत्रक"
decagon,दशभुज,"दशकोन, दशभुज"
decagram,डेकाग्राम,दशग्राम
decameter,डेकामीटर,दशुमीटर
decay constant,क्षयांक,"क्षयांक, ह्रास स्थिरांक"
decay curve,क्षय वक्र,क्षयवक्र
decent function,शिष्ट फलन,"समुचित फल, नीटस फल"
decigram,डेसीग्राम,"डेसीग्राम, दशांश ग्राम"
decile,दशमक,दशमक
decimal,"दशमलव, दशमिक","दशांश, दशमान"
decimal code,दशमिक कोड,दशमान संकेत
decimal coded digit,दशमलव कोडित अंक,दशमान सांकेतिक अंक
decimal expansion,दशमिक प्रसार,दशमान विस्तार
decimal fraction,दशमलव भिन्न,"दशांश अपूर्णांक, दशमान अपूर्णांक"
decimal notation,दशमलव संकेतन पद्‌धति,दशमान संकेतन
decimal numbering system,दशमलव अंकन पद्‌धति,दशमान संख्या पद्‌धती
decimal point,दशमलव बिंदु,दशांश बिंदू
decimal scale,दशमलव मापक्रम,दशमान श्रेणी
decimal system,दशमलव पद्‌धति,दशमान पद्‌धती
decimeter,डेसीमीटर,डेसीमीटर
deciphering,कूटवाचन,कुटवाचन
decision model,निर्णय निदर्श,निर्णय कृती
decision theory,निर्णय सिद्‌धांत,निर्णय सैद्‌धांतिकी
decision variable,निर्णय चर,निर्णय चल
decoder,"कूटवाचक, विकोडक","संकेतवाचक, कुटवाचक, संकेतन वाचक"
decoding,"कूटवाचन, विकोडन",संकेतवाचन
decomposable set,वियोज्य समुच्चय,विघटनीय संच
decreasing,ह्रासमान,उतरता
decreasing function,ह्रासमान फलन,उतरते फल
Dedekind's cut,डेडेकिन्ड-कट,डेडेकिन्ड काप
Dedekind's theorem,डेडेकिन्ड-प्रमेय,डेडेकिन्ड सिद्‌धांत
deduce,निगमन करना,अनुमान काढणे
deductive method,निगमनिक रीति,आनुमानिक पद्‌धती
defective,सदोष,सदोष
defining equation,परिभाषी समीकरण,परिभाषी समीकरण
definite integral,निश्चित समाकल,निश्चित समाकल
definite matrix,निश्चित मैट्रिक्स,निश्चित सारणी
definition,1. परिभाषा 2. स्पष्टता 3. निश्चय,व्याख्या
deformation curve,विरूपण वक्र,विरुपण वक्र
deformed surface,विकृत पृष्ठ,विरुपीत पृष्ठभाग
degeneracy,"अपभ्रष्टता, अपह्रास",अध:पतन
degeneracy in transporation problems,परिवहन समस्याओं में अपभ्रष्टता,परिवहन समस्यांचे अध:पतन
degree,"1. डिग्री, अंश 2. घात 3. कोटि 4. मात्रा, परिमाण 5. अंशांक","कोटी, अंश, घात"
degree of differential equation,अवकल समीकरण का घात,अवकल समीकरणाची कोटी
degree of freedom,"स्वतंत्रता की कोटि, स्वातंत्र्य कोटि",मुक्तता कोटी
degree of polynomial,बहुपद का घात,बहुपदीची कोटी
deleted neighbourhood,निष्कासित प्रतिवेश,उर्वरीत अंतरवेश
delta function,डेल्टा फलन,डेल्टा फल
demand and utility curve,मांग और उपयोगिता वक्र,मागणी आणि उपयुक्तता वक्र
demand equation,मांग समीकरण,मागणी समीकरण
demand function,मांग फलन,मागणी फल
demographic study,जनसांख्यिकीय अध्ययन,लोकसंख्याशास्त्रीय अभ्यास
demography,जनसांख्यिकी,लोकसंख्याशास्त्र
De Moivre’s theorem,द-मॉयवर प्रमेय,डी मोवर प्रमेय
demonstrate,1. निरूपण करना 2. प्रमाण देना 3. निदर्शन करना,"दाखवणे, प्रात्यक्षिक, सादरीकरण करणे"
demonstration,"1. निरूपण 2. प्रमाण 3. निदर्शन, प्रदर्शन","प्रात्यक्षिक, सादरीकरण"
demonstrative geometry,निरूपणात्मक ज्यामिति,प्रात्यक्षिक भूमिती
denominator,हर,छेद
dense set,सघन समुच्चय,सघन संच
density,1. घनत्व 2. सघनता,घनता
denumerable set,प्रगणनीय समुच्चय,प्रगणनीय संच
departing variables,अपगामी अचर,निर्गमन चल
dependent event,आश्रित घटना,अवलंबित घटना
dependent random variable,आश्रित यादृच्छिक चर,अवलंबित यादृच्छिक चल
dependent variable,परतंत्र चर,अवलंबित चल
dependent variate,परतंत्र विचर,अवलंबित विचर
depression angle,अवनमन कोण,अवनत कोन
derivation,"1. व्युत्पत्ति, व्युत्पन्न 2. अवकलन",अनुसिद्‌धता
derivative,1. व्युत्पन्न 2. अवकलज,विकलज
derived series,व्युत्पन्न श्रेणी,साधित श्रेणी
derived set,व्युत्पन्न समुच्चय,साधित संच
descending,"अवरोही, अवरोहण",उतरता
descending order,अवरोही क्रम,उतरता क्रम
descending series,अवरोही श्रेणी,उतरती श्रेणी
descriptive geometry,प्रक्षेपात्मक ज्यामिति,वर्णनात्मक भूमिती
descriptive model,वर्णनात्मक निदर्श,वर्णनात्मक प्रतिकृती
descriptive statistics,वर्णनात्मक सांख्यिकी,वर्णनात्मक संख्याशास्त्र
design,"अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)","संकल्पना, आराखडा, अभिकल्पना, रचना"
design of experiment,प्रयोग की अभिकल्पना,"प्रयोग आराखडा, प्रयोग संकल्पना"
desk calculator,डेस्क परिकलित्र,डेस्क गणकयंत्र
detection,"पहचान, संसूचन","ओळख, शोध"
determinant,"1. सारणिक, डिटर्मिनेंट 2. निर्धारक","निर्धारक, सारणिक"
determinant rank,सारणिक कोटि,"सारणिक श्रेणी, निर्धारक श्रेणी"
determine,निर्धारित करना,"निर्धारित करणे, निश्चित करणे, ठरवणे"
deterministic model,निर्धारणात्मक निदर्श,"निर्धारणात्मक प्रतिकृति, निर्धार्य प्रतिकृति"
deterministic problem,निर्धारणात्मक समस्या,"निर्धारणात्मक समस्या, निर्धार्य समस्या"
deviation,विचलन,विचलन
deviation coefficient,विचलन गुणांक,विचलन गुणांक
diadic system,द्वि-आधारी प्रणाली,द्विआधारीत प्रणाली
diagonal,"विकर्ण कर्ण,",विकर्ण
diagonalization of a matrix,आव्यूह-विकर्णन,"सारणी विकर्णन, सारणी कर्णरेपण"
diagonal matrix,"विकर्ण मैट्रिक्स, विकर्ण आव्यूह",कर्ण सारणी
diagonal similarity,विकर्णी समानता,कर्ण समरूपता
diagram,आरेख,रेखाकृति
diagrammatic method,आरेखी विधि,रेखाकृतीय पद्‌धती
diagrammatic presentation,आरेखी प्रस्तुतिकरण,रेखाकृतीय प्रस्तुतिकरण
diameter,व्यास,व्यास
diameter of a set,समुच्चय-व्यास,संच व्यास
diametrically opposite,व्यासतः सम्मुख,व्यास-सन्मुख
dice throw,"पाशकक्षेप, पासा फेंकना",फासा टाकणे
dichotomous classification,द्विधा वर्गीकरण,द्विपाठ वर्गीकरण
dichotomy,1. द्विभाजन 2. अर्धक,कला द्विभाजन
dictionary order,कोशक्रम,शब्दकोश क्रम
difference calculus,अंतर कलन,फरक-कलन
difference equation,अंतर समीकरण,फरकसमीकरण
difference formula,अंतर सूत्र,फरकसूत्र
difference method,अंतर विधि,फरकपद्‌धती
difference of sets,समुच्चयों का अंतर,संचांचा फरक
differentiable,अवकलनीय,विकलनीय
differentiable curve,अवकलनीय वक्र,विकलनीय वक्र
differentiable function,अवकलनीय फलन,विकलनीय फल
differential,"1. विभेदक, भेददर्शी 2. अवकल 3. अंतरात्रयी, अंतरात्मक 4. विभेदी",विकलक
differential calculus,अवकल गणित,विकलक कलन
differential coefficient,अवकल गुणांक,विकलक गुणांक
differential equation,अवकल समीकरण,विकलक समीकरण
differential form,अवकल समघात,विकलक रूप
differential formula,अवकल सूत्र,विकलक सूत्र
differential function,अवकल फलन,विकलक फल
differential geometry,अवकल ज्यामिति,विकलक भूमिती
differential of higher order,उच्चतर कोटि का अवकल,उच्चक्रमाचे विकलक
differential quotient,अवकल खंड,विकलक भागाकार
differentiate,अवकलन करना,विकलन करणे
differentiation,"विभेदन, अवकलन",विकलन
differentiation formula,अवकलन सूत्र,विकलन सूत्र
differentiation of vector,सदिश का अवकलन,सदिशाचे विकलन
diffusion,"विसरण, विसार",विसरण
digit,"अंक, व्यास का द्वादशांश, अंगुलि",अंक
digital computer,अंकीय अभिकलित्र,अंकात्मक संगणक
digital data,अंकीय दत्त,अंकात्मक माहिती
dimension,"1. विस्तार, लंबाई-चौड़ाई, विमा 2. घात","परिमाण, मिति"
dimensionality,विमीयता,मितियता
dimensionless,"विमाहीन, अविम",मितिरहित
dimension of an equation,समीकरण विमा,समीकरणाची मिति
diophantine equation,डायोफैन्टस का समीकरण,डायोफँटी समीकरण
dip angle,नति कोण,नतिकोन
dipolar coordinates,द्वियुग्मध्रुवी निर्देशांक,द्विध्रुवीय निर्देशक
dipole,द्विध्रुव,द्विध्रुव
dipyramid (bipyramid),द्विपिरामिड,द्विपिरामिड
Dirac delta function,डिरैक डेल्टा फलन,डिरॅक डेल्टा फल
direct common tangent,उभयनिष्ठ अनुस्पर्श रेखा,प्रत्यक्ष समाईक स्पर्शिका
directed angle,दिष्ट कोण,दिशादर्शक कोन
directed line,दिष्ट रेखा,दिशादर्शक रेखा
directional derivative,दिक्-अवकलज,दिक् विकलज
direction cosine,"दिक्कोज्या, दिक्-कोसाइन",दिक् कोसाइन
direction of maxima,उच्चिष्ठ की दिशा,उच्चिष्ठाची दिशा
direction of projection,प्रक्षेपण दिशा,प्रक्षेपण दिशा
direction ratio,दिक्-अनुपात,"दिशा गुणोत्तर, दिक्गुणोत्तर"
director circle,नियामक वृत्त,दर्शावर्तुळ
director sphere,नियामक गोला,दर्शागोल
direct product,अनुलोम गुणनफल,सरळ गुणाकार
direct proof,1. प्रत्यक्ष प्रमाण 2. प्रत्यक्ष उपपत्ति,प्रत्यक्ष सिद्‌धता
direct proportion,अनुक्रमानुपात,प्रत्यक्ष प्रमाण
directrix,नियता,दर्शिका
direct sum,अनुलोम योगफल,प्रत्यक्ष बेरीज
disconncted sets,असंबद्‌ध समुच्चय,असंबद्‌ध संच
discontinuity,1. असांतत्य 2. असातत्य 3. भंग,असातत्य
discontinuity of derivative,अवकलज का असांतत्य,विकलजाचे असातत्य
discontinuity of the first kind,प्रथम प्रकार का असांतत्य,प्रथम-प्रकार असातत्य
discontinuity of the second kind,द्वितीय प्रकार का असांतत्य,द्वितीय-प्रकार असातत्य
discontinuous distribution,असंतत वितरण,"असंतत वितरण, खंडित वितरण"
discontinuous function,असंतत फलन,असंतत फल
discontinuous variate,असंतत विचर,असंतत विचल
discrete,विविक्त,पृथक
discrete distribution,असंतत बंटन,पृथक वितरण
discrete probability distribution,असंतत प्रायिकता बंटन,पृथक संभाव्यता वितरण
discrete random variable,असंतत यादृच्छिक चर,पृथक यादृच्छिक चल
discrete sample space,असंतत प्रतिदर्श समष्टि,पृथकनमुना अवकाश
discrete set,विविक्त समुच्चय,पृथकसंच
discrete space,विविक्त समष्टि,पृथक-अवकाश
discrete topology,विविक्त संस्थिति,पृथक सांस्थिती
discrete variate,असंतत विचर,पृथक विचर
discriminant,विविक्तकर,विवेचक
discriminatory analysis (=discriminant analysis),विविक्तकर विश्लेषण,विवेचनात्मक विश्लेषण
disjoint,असंयुक्त,विभक्त
disjoint events,असंयुक्त घटना,विभक्त घटना
disjoint sets,असंयुक्त समुच्चय,विभक्त संच
disjoint union,असंयुक्त सम्मिलन,विभक्त संयोग
disjunction,1. वियोजन 2. तर्क-संगत योग,विकल्पकारक
dispersion,1. परिक्षेपण 2. प्रकीर्णन,अपस्करण
dispersion chart,परिक्षेपण संचित्र,अपस्करण तक्ता
dispersion constant,परिक्षेपणांक,अपस्करण स्थिरांक
dispersion diagram,परिक्षेपण-आरेख,अपस्करण आकृति
dispersion matrix (=covariance matrix),परिक्षेपण-मैट्रिक्स,अपस्करण सारणी
displacement,विस्थापन,विस्थापन
display,प्रदर्श,प्रदर्शन
display unit (=consol),कन्सोल,प्रदर्शक भाग
dissimilar,"असमरूप, असमान",असमरूप
dissipative forces,क्षयकारी बल,"क्षयकारी बल, अपाकरण बल, अपाकरणशील बल"
distance function,दूरी-फलन,अंतरफल
distance modulus,दूरी-मापांक,अंतरकेवल मूल्य
distribution-free method,बंटन-निरपेक्ष,विधि वितरणमुक्त पद्‌धती
distributive law,"वितरण-नियम, बंटननियम",वितरण नियम
diverge,"अपसारित करना, अपसारित होना",अपसृत होणे
divergence,"1. अपसरण, अपसारिता 2. डाइवर्जेन्स",अपसरण
divergence theorem,अपसरण प्रमेय,अपसरण प्रमेय
divergent,अपसारी,अपसारी
divergent series,अपसारी श्रेणी,अपसारी श्रेणी
divided difference,विभाजित अंतर,विभाजित फरक
divisibility,"भाज्यता, विभाज्यता",विभाज्यता
divisible,"भाज्य, विभाज्य",विभाज्य
division,"1. भाग, प्रभाग 2. विभाजन",विभाजन
division algorithm,विभाजन-कलन विधि,विभाजन पद्‌धती
division ring,विभाजन-वलय,भागाकारी वलय
dodecagon,द्वादशभुज,द्वादशभुज
dodecahedron,द्वादशफलक,द्वादशफलक
domain,"1. प्रक्षेत्र 2. डोमेन, प्रांत 3. प्रदेश",अधिक्षेत्र
domain of a function,फलन का प्रांत,फलाचे अधिक्षेत्र
domain of definition,परिभाषा-प्रांत,परिभाषा अधिक्षेत्र
domain of existence,अस्तित्व-प्रांत,अस्तित्व अधिक्षेत्र
dominant strategy,अभिभावी युक्ति,प्रबळ डावपेच
doppler effect,डॉप्लर प्रभाव,डॉप्लर प्रभाव
dot product,"बिन्दु-गुणनफल, अदिशगुणनफल",बिंदू गुणाकार
dotted curve,बिन्दुकित वक्र,बिंदुकित वक्र
double differentiation,द्विशः अवकलन,दुहेरी विकलन
double exponential distribution,द्विक चरघातांकीय बंटन,दुहेरी घातांकी वितरण
double helix,द्विकुंडली,दुहेरी मळसूत्री
double integral,द्विशः समाकल,दुहेरी समाकल
double integration,द्विशः समाकलन,दुहेरी संकलन
double limit,द्विक सीमा,"दुहेरी सीमा, द्विकसीमा"
double sampling plan,द्विशः प्रतिचयन आयोजन,दुहेरी निवड योजना
double sequence,द्विक अनुक्रम,द्विक क्रमिका
double series,द्विक श्रेणी,द्विक श्रेणी
double suffix notation,द्वि-अनुलग्नी संकेतन,द्विनुप्रत्मेयी संकेतन
double summation,द्विक संकलन,द्विक समाकलन
downward acceleration,अधोमुखी त्वरण,अधोमुखी त्वरण
downward displacement,अधोमुखी विस्थापन,अधोमुखी विस्थापन
downward motion,अधोमुखी गति,अधोमुखी गति
downward velocity,अधोमुखी वेग,अधोमुखी वेग
drag,कर्षण,कर्षण
drag force,कर्षण-बल,कर्षण बल
dual,"द्वैती द्वैती,",अन्योन्य
dual basis,द्वैत आधार,अन्योन्य पायाधार
dual inner product,द्वैत आंतरिक गुणनफल,अन्योन्य आंतरिक गुणाकार
dual linear programming problem,द्वैती रैखिक प्रोग्रामन समस्या,"अन्योन्य प्रयोजनात्मक समस्या, अन्योन्य रेषीय अक्षावर्गीकरण समस्या"
dual operation,1. द्वि प्रचालन 2. द्वैती संक्रिया,अन्योन्य क्रिया
dual problem,द्वैत समस्या,अन्योन्य समस्या
dual simplex algorithm,द्वैत एकल कलन-विधि,अन्योन्य एकपथी रीत
dual simplex technique,द्वैत एकल प्रविधि,अन्योन्य एकपथी तंत्र
dual space,द्वैत समष्टि,अन्योन्य अवकाश
dual variable,द्वैत चर,अन्योन्य चल
dual vector space,द्वैत सदिश समष्टि,अन्योन्य सदिश अवकाश
dummy index,मूक सूचकांक,तोतया निर्देशांक
dummy subscript,मूक पादांक,तोतया पादांक
dummy suffix,मूक अनुबंध,तोतया अनुप्रत्यय
dummy variable,मूक चर,तोतया चल
duplicator process,अनुलिपि-प्रक्रम,अनुलिपी प्रक्रिया
dynamical,गतिकीय,गतिकीय
dynamical system,गतिकीय तंत्र,गतिकीय प्रणाली
dynamic demand function,गतिक मांग फलन,गतिक मागणी फल
dynamic model,गत्यात्मक निदर्श,गतिक प्रतिकृति
dynamic programming,गत्यात्मक प्रोग्रामन,गतिक आज्ञावलीकरण
dynamic programming approach,गतिशील प्रोग्रामन उपगमन,गतिक आज्ञावलीकरण दृष्टीकोन
dynamic programming technique,गतिशील प्रोग्रामन प्रविधि,गतिक आज्ञावलीकरण तंत्र
dynamics,"गतिविज्ञान, गतिकी",गतिशास्त्र
dynamics of a particle,कण-गतिकी,कण गतिशास्त्र
dynamics of rigid bodies,दृढ़ पिंड गतिकी,दृढपदार्थ गतिशास
earth,"1. भू, पृथ्वी, भूमि 2. मत्तिृ का, मदृा 3. भू संपर्कित करना, भूसंपर्क करना (क्रि.)","पृथ्वी, धरा"
earthquake intensity,भूकंप तीव्रता,धरणीकंप तीव्रता
eccentricity,उत्केंद्रता,उत्केंद्रता
eclipse,ग्रहण,ग्रहण
econometric forecast,अर्थमितीय पूर्वानुमान,अर्थमितीय पूर्वानुमान
econometrician,अर्थमितिज्ञ,अर्थमितीज्ञ
econometrics,अर्थमिति,अर्थमितिशास्त्र
economics,अर्थशास्त्र,अर्थशास्त्र
edge,"कोर, किनारा, अश्रि",कडा
edge of a convex set,अवमुख समुच्चय कोर,बहिर्वक्र संचाची कडा
efficiency factor,दक्षतांक,क्षमतांक
eigen element,अभिलक्षणिक अवयव,उचित घटक
eigen function,अभिलक्षणिक फलन,उचित फल
eigen value,"आइगेन मान, अभिलक्षणिक मान",उचित मूल्य
eigen value equation,अभिलक्षणिक मान समीकरण,उचित मूल्य समीकरण
eigen vector,"आइगेन वेक्टर, अभिलक्षणिक सदिश",उचित सदिश
elastic,प्रत्यास्थ,प्रत्यास्ठ
elastic constant,प्रत्यास्थतांक,प्रत्यास्थ स्थिरांक
elastic equilibrium,प्रत्यास्थ साम्यावस्था,प्रत्यास्थ संतुलन
elasticity,प्रत्यास्थता,प्रत्यास्थता
elasticity surface,प्रत्यास्थता-पृष्ठ,प्रत्यास्थता पृष्ठभाग
electronic computer,"इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर",इलेक्ट्रॉनिक संगणक
element,1. तत्व 2. अल्पांश 3. अवयव,"अवयव, घटक"
elementary column operation,प्रारंभिक स्तंभ संक्रिया,प्राथमिक स्तंभ क्रिया
elementary event,प्रारंभिक घटना,प्राथमिक घटना
elementary function,प्रारंभिक फलन,प्राथमिक फल
elementary operation,प्रारंभिक संक्रिया,प्राथमिक क्रिया
elementary outcome,प्रारंभिक परिणाम,"प्राथमिक परिणाम, प्राथमिक निष्पत्ती"
elementary probability law,प्रारंभिक प्रायिकता नियम,प्राथमिक संभाव्यता नियम
elementary row operation,प्रारंभिक पंक्ति संक्रिया,प्राथमिक पंक्ती क्रिया
eliminate,"विलुप्त करना, विलोपन करना,",निराकरण विलोप करणे
elemination procedure,निराकरण प्रक्रिया,विलोपन पद्‌धती
ellipse,"दीर्घवृत्त, इलिप्स",दीर्घवृत्त
ellipsoid,दीर्घवृत्तज,दीर्घवृत्तज
ellipsoidal,दीर्घवृत्तजीय,दीर्घवृत्तजीय
ellipsoidal surface,दीर्घवृत्तजीय पृष्ठ,दीर्घवृत्तजीय पृष्ठभाग
elliptical body,दीर्घवृत्ताकार पिंड,दीर्घवृत्तीय पिंड
embedding,अंतःस्थापन,अंत:स्थापन
emission,उत्सर्जन,उत्सर्जन
empirical data,आनुभविक न्यास,अनुभवजन्य सामग्री
empirical formula,मूलानुपाती सूत्र,अनुभवजन्य सूत्र
empirical probability,आनुभविक प्रायिकता,अनुभवजन्य संभाव्यता
empirical relation,आऩुभविक संबंध,अनुभवजन्य संबंध
empty set,रिक्त समुच्चय,रिक्त संच
enclosed,परिबद्‌ध,आवतृ
encoding,"कूटलेखन, कोडन",संकेतन
endomorphism,अंतराकारिता,अंतररूपण
end point,अंत्य बिंदु,अंतबिंदू
end point of class interval,वर्गांतराल के अंत्य बिंदु,वर्गांतराळचे अंत्यबिंदू
energy,ऊर्जा,ऊर्जा
energy momentum component,ऊर्जा-संवेग घटक,ऊर्जासंवेग घटक
entering variable,प्रवेशी चर,प्रवेशी चल
enumerable set,गणनीय समुच्चय,गणनीय संच
enumeration,"गणन, गिनना",गणनीयता
equal,"समान, बराबर, सम, तुल्य","बरोबर, समान"
equality,"समता, समिका","बरोबरी, समता"
equally likely,समप्रायिक,समसंभाव्य
equal probability selection method (=epsem),सम प्रायिकता वरण विधि,समसंभाव्य निवड-पद्‌धती
equate,समान करना,बरोबरीकरण
equation,1. समीकरण 2. समीकार,समीकरण
equation of first degree,एकघात समीकरण,एकघाती समीकरण
equation of second degree,द्विघात समीकरण,द्विघातीय समीकरण
equation of third degree,त्रिघात समीकरण,त्रिघातीय समीकरण
equator,"विषुवत वृत्त भूमध्यरेखा, इक्वेटर, मध्यरेखा","विषुववृत्त, भूमध्य रेखा"
equicontinuous,समसंतत,समसंतत
equilateral,समबाहु,समभुज
equilibrium,"साम्यावस्था, साम्य, संतुलन",संतुलन
equilibrium of forces,बल-संतुलन,बल-संतुलन
equilibrium point,संतुलन बिंदु,संतुलन बिंदू
equivalence,तुल्यता,समतुल्यता
equivalence class,तुल्यता-वर्ग,समतुल्य वर्ग
equivalence relation,तुल्यता-संबंध,समतुल्य संबंध
equivalent,"तुल्य, तुल्यमान (वि.),तुल्यांक (सं.)",समतुल्य
equivalent matrix,तुल्य मैट्रिक्स,समतुल्य सारणी
equivalent set,तुल्य समुच्चय,समतुल्य संच
ergodicity,अभ्यतिप्रायता,स्थलकाल-निरपेक्षता
error,"त्रुटि, भूल, गलती, अशुद्‌धि",त्रुटी
error analysis,त्रुटि-विश्लेषण,त्रुटी-विश्लेषण
error code,त्रुटि कोड,त्रुटी संकेत
error coefficient,त्रुटि गुणांक,त्रुटी गुणांक
error of mean square,वर्ग माध्य त्रुटि,वर्गसरासरी त्रुटी
error of the first kind,प्रथम प्रकार की त्रुटि,प्रथम-प्रकार त्रुटी
error of the second kind,द्वितीय प्रकार की त्रुटि,द्वितीय-प्रकार त्रुटी
escape probability,पलायन-प्रायिकता,पलायन संभाव्यता
escape velocity,पलायन वेग,पलायन वेग
E. Schmidt's orthogonalization process,ई. श्मिट लांबिकीकरण प्रक्रम,ई. स्मिथ प्रक्रिया लंबकस्वीकरण
escribed circle,बहिर्वृत्त,बाह्य वर्तुळ
essential,"सारभूत, अनिवार्य",आवश्यक
essentially unique,वस्तुतः अद्वितीय,मूलत: अद्वितीय
estimate,"आकलन करना, आकलित करना (क्रि.), आकलन (सं.)",अंदाज करणे
estimation method,आकलन विधि,अंदाज पद्‌धती
Euclidean coordinate,यूक्लिडीय निर्देशांक,युक्लिड निर्देशक
Euclidean domain,यूक्लिडीय डोमेन,युक्लिड परिक्षेत्र
Euclidean geometry,यूक्लिडीय ज्यामिति,युक्लिड भूमिती
Euclidean n-space,यूक्लिडीय n-समष्टि,युक्लिड n-अवकाश
Euclidean plane,यूक्लिडीय समतल,युक्लिड प्रतल
Euler's theorem,ऑयलर प्रमेय,ऑयलर प्रमेय
evaluate,"मान निकालना, मूल्यांकन करना",किंमत काढणे
even,सम,सम
even curve,सम वक्र,सम वक्र
even function,सम फलन,समफल
even multiple,सम अपवर्त्य,सम गुणित
even number,सम संख्या,सम संख्या
even odd symmetry,सम-विषम सममिति,सम-विषम सममिती
even permutation,सम क्रमचय,सम क्रमचयन
event,"घटना, अनुवृत्त",घटना
even term,समपद,समपद
exact,"यथातथ, यथार्थ, बिल्कुल ठीक",तंतोतंत
exact chi-square test,यथातथ काई-वर्ग परिक्षण,तंतोतंत कायवर्ग कसोटी
exact differential,यथातथ अवकल,तंतोतंत विकलक
exact equation,यथातथ समीकरण,तंतोतंत समीकरण
example,उदाहरण,"उदाहरण, नमुना, दाखला"
exchange,विनिमय,"विनिमय, अदलाबदल"
exhaustive event,निश्शेष घटना,सर्वसमावेशी घटना
existence axiom,अस्तित्व अभिगृहीत,अस्तित्व गृहीतक
existence probability(= a priori probability),अस्तित्व प्रायिकता,अस्तित्व संभाव्यता
existence theorem,अस्तित्व प्रमेय,अस्तित्व प्रमेय
exogenous variable,बाह्य चर,बाह्य चल
expansion,"प्रसार, प्रसरण",विस्तार
expectation function,प्रत्याशा फलन,अपेक्षा फल
expected frequency,प्रत्याशित बारंबारता,अपेक्षित वारंवारता
expected value,प्रत्याशित मान,अपेक्षित मूल्य
experiment,प्रयोग,प्रयोग
experimental error,"प्रायोगिक भूल, प्रायोगिक त्रुटि",प्रयोगिक त्रुटी
explanation,"व्याख्या, स्पष्टीकरण","स्पष्टीकरण, विवरण"
explicit equation,स्पष्ट समीकरण,व्यक्त समीकरण
explicit form,स्पष्ट रूप,व्यक्त रूप
explicit function,स्पष्ट फलन,व्यक्त फल
explicit solution,स्पष्ट हल,व्यक्त उकल
exponent,घातांक,घातांक
exponential curve,चरघातांकी वक्र,घातांकी वक्र
exponential density function,चरघातांकी प्रायिकता फलन,घातांकी घनता फल
exponential distribution,चरघातांकी बंटन,घातांकी वितरण
exponential equation,चरघातांकी समीकरण,घातांकी समीकरण
exponential function,चरघातांकी फलन,घातांकी फल
exponential growth,"एक्सपोनेन्टी वृद्‌धि, चरघातांकी वृद्‌धि",घातांकी वृद्‌धी
exponential law,चरघातांकी नियम,घातांकी नियम
exponential map,चरघातांकी प्रतिचित्र,घातांकी नकाशा
exponential series,"एक्सपोनेन्टी श्रेणी, चरघातांकी श्रेणी",घातांकी श्रेण
expression,"1. निष्पीडन 2. व्यंजक 3. मुखाकृति, भावकृति",राशी
extended interval,विस्तरित अंतराल,विस्तारित अंतराल
extended real line,वर्धित वास्तविक रेखा,विस्तारित वास्तव रेखा
extended real number system,विस्तरित वास्तविक संख्या निकाय,विस्तारित वास्तव संख्या प्रणाली
extension of a mapping,प्रतिचित्रण विस्तार,प्रतिचित्रण विस्तार
exterior angle,बहिष्कोण,बाहय कोन
exterior area,बाह्य क्षेत्र,बाहय क्षेत्र
exterior point,बाह्य बिंदु,बाहय बिंदू
external,बाह्य,बाहय
extrapolation of trend value,उपनति मान का बहिर्वेशन,बहिर्वेशनाचे कलमूल्य
extrapolation technique,बहिर्वेशन तकनीक,बहिर्वेशन तंत्र
extremal value,चरम मान,चरम मूल्य
extreme,"1. अत्यंत 2. अंत 3. चरम, पराकाष्ठा",अत्यंत
extreme point,चरम बिंदु,अत्यंत बिंदू
